city,lat,lon,population
London,51.514248,-0.093145,8567000
Birmingham,52.466667,-1.916667,2285000
Manchester,53.5,-2.216667,2230000
Leeds,53.8,-1.583333,1529000
Sheffield,53.366667,-1.5,1292900
Glasgow,55.833333,-4.25,1160000
Newcastle upon Tyne,54.988056,-1.619444,882000
Nottingham,52.966667,-1.166667,825600
Liverpool,53.416667,-3,811000
Southend-on-Sea,51.533333,0.7,618386
Bristol,51.45,-2.583333,553528
Edinburgh,55.95,-3.2,504966
Brighton,50.833333,-0.15,503008
Bradford,53.783333,-1.75,501700
Leicester,52.633333,-1.133333,457983
Sunderland,54.911944,-1.383333,452934
Belfast,54.6,-5.933333,450406
Portsmouth,50.766667,-1.083333,442252
Bournemouth,50.716667,-1.883333,426945
Middlesbrough,54.572778,-1.162778,416042
Coventry,52.416667,-1.55,388271
Southampton,50.9,-1.4,384417
Reading,51.433333,-1,369804
Sutton on Hull,53.783333,-0.316667,302296
Blackpool,53.816667,-3.05,272792
Plymouth,50.396389,-4.138611,247297
Luton,51.883333,-0.416667,235958
Oxford,51.75,-1.25,192796
Norwich,52.633333,1.3,190756
Old Aberdeen,57.166667,-2.1,189364
York,53.966667,-1.083333,158947
Dundee,56.5,-2.966667,151592
Ipswich,52.083333,1.166667,143767
Peterborough,52.583333,-0.25,140141
Cambridge,52.2,0.116667,128488
Exminster,50.683333,-3.483333,113118
Bath,51.379444,-2.365556,93238
Chester,53.2,-2.916667,89531
Greenock,55.933333,-4.75,74635
Carlisle,54.883333,-2.933333,72633
Scarborough,54.287222,-0.414167,70571
Ayr,55.45,-4.616667,69042
Inverness,57.466667,-4.233333,45158
Perth,56.4,-3.433333,39654
River,51.133333,1.266667,36384
Dumfries,55.066667,-3.55,31044
Omagh,54.60124,-7.29085,21056
Penzance,50.113611,-5.547778,20812
Fort William,56.816667,-5.116667,9652
Kirkwall,58.966667,-2.95,8500
Wick,58.433333,-3.083333,7147
Lerwick,60.15,-1.15,6594
